julkaisu_pvm;tuotenimi;malli;tekniset_arvot;tuote_paaryhma_nimi;nimike;viivakoodi;vaaranlaji;tapaus_tulos;tapausnumero;tapauksen_kuvat;muut_tiedot;vastuutaho;asiakirjat;puutteet;paatos
19.07.2011;Petzl;Scorpio, nykäyksenvaimennin, L60, L60 CK, L60 2, L60 2CK, L60 H, L60 WL, K29VF 1, K29VF 2, K29VE 1, K29VE 2, K29V 1, K29;;Tavara;Nykäyksenvaimennin;;Muut ulkoiset vammat;Palautusmenettely;RIR-20110616-02;http://marek.tukes.fi/Tuote.aspx?kuvaid=10897,http://marek.tukes.fi/Tuote.aspx?kuvaid=10898;Petzl Scorpio -nykäyksenvaimentimen sisältävien tuotteiden käyttö keskeytettävä välittömästi. Kaikille tuotteille tulee tehdä ylimääräinen tarkastus yrityksen antamien ohjeiden mukaisesti. Yritys antaa lisätietoja mm. toimintaohjeista. Yrityksen yhteistiedot ovat turvallisuustiedotteessa.Kuluttajansuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajansuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Vandernet Oy ,Maahantuoja,Pälkäneentie 19 A,00510,HELSINKI;http://marek.tukes.fi/Tuote.aspx?asiakirjaid=41;Joissakin tuotteissa saattaa olla tuotteen kestävyyteen vaikuttava valmistusvika, josta voi aiheutua kiipeilijän putoaminen ja vammautuminen.;Yritys on oma-aloitteisesti ollut yhteydessä kuluttajiin, joilla on tuote hallussaan ja julkaissut nettisivuillaan tärkeän turvallisuustiedotteen sekä ryhtynyt tarvittaviin toimenpiteisiin.
19.07.2011;FLEX easy;HCR-EUR-D05-001;;Ei määritelty;Latauslaite, Bluetooth kuuloke;7 330638 046051;Sähköisku;Palautusmenettely;YNS-20110309-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=9720,http://marek.tukes.fi/Tuote.aspx?kuvaid=9711,http://marek.tukes.fi/Tuote.aspx?kuvaid=9712;Poista tuote välittömästi käytöstä. Palautusmenettelyn mukaisella päätöksellä maahantuoja on velvoitettu keräämään tämä tuote pois myynnistä ja myös käyttäjiltä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Brightpoint Finland Oy ,Maahantuoja,Teilimäki 4,01530,VANTAA;http://marek.tukes.fi/Tuote.aspx?asiakirjaid=43;Tuotteen piirilevyllä pinta- ja ilmavälipuutteita. Tuote ei kestänyt standardin EN 60950 mukaista jännitelujuustestiä.;Palautusmenettely. Päätös koskee tuotepakkauksessa olevaa verkkoliitäntäkojetta (latuaslaitetta). Verkkoliitäntälaitteen tunnistetiedot löytyvät arvokilpikuvassa.
20.07.2011;basic XL;BXL-INV150U-12;;Verkkoliitäntäkojeet ja lataus;Vaihtosuuntaaja;5 412810 139651;Sähköisku;Myyntikielto;YNS-20110427-08;http://marek.tukes.fi/Tuote.aspx?kuvaid=10267,http://marek.tukes.fi/Tuote.aspx?kuvaid=10262,http://marek.tukes.fi/Tuote.aspx?kuvaid=10263;Myyntikieltopäätöksellä maahantuoja on velvoitettu keräämään tämä tuote pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Nedis Oy ,Maahantuoja,Myllypuronkatu 8,57220,SAVONLINNA;;Ilma- ja pintäväli puutteita sisäänmeno- ja ulostulopiirien välillä tuotteen piirilevyllä sekä muuntajajassa T1 (HHEC28-220GV). Tuotteen kotelomateriaali ei täytä standardin EN 60950 mukaisia tulenkestoisuusvaatimuksia.;Tukesin päätöksellä tuotteelle on asetettu myyntikielto. Päätös ei koske tuotteita, joiden sarjanumero on 1124xxxxxx tai se on neljän ensimmäisen numeron osalta tätä suurempi.
20.07.2011;HQ;HQ-INV150WU12;;Verkkoliitäntäkojeet ja lataus;Vaihtosuuntaaja;5 412810 116461;Sähköisku;Myyntikielto;YNS-20110426-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=10273,http://marek.tukes.fi/Tuote.aspx?kuvaid=10268,http://marek.tukes.fi/Tuote.aspx?kuvaid=10271,http://marek.tukes.fi/Tuote.aspx?kuvaid=10269;Myyntikieltopäätöksellä maahantuoja on velvoitettu keräämään tämä tuote pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Nedis Oy ,Maahantuoja,Myllypuronkatu 8,57220,SAVONLINNA;;Ilma- ja pintäväli puutteita sisäänmeno- ja ulostulopiirien välillä.;Myyntikieltopäätös.Tukesin päätöksellä tuotteelle on asetettu myyntikielto. Myyntikieltopäätös ei koske tuotteita, joiden valmistusaika on 9/2011 tai myöhäisempi.
28.07.2011;Soundlink / Clas Ohlson;SL0802-5V1A-E-USB/AC106;input 100-240Vac, 0.3A MAX 50-60 Hz - output 5 V, 1A;Viihde-elektroniikka;Latauslaite / iPod;7 393173 152090;Sähköisku,Palo;Myyntikielto;PER-20110125-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=9304,http://marek.tukes.fi/Tuote.aspx?kuvaid=9301,http://marek.tukes.fi/Tuote.aspx?kuvaid=9303,http://marek.tukes.fi/Tuote.aspx?kuvaid=9300;Myyntikieltopäätöksellä maahantuoja on velvoitettu keräämään tämä tuote pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Clas Ohlson Oy ,Maahantuoja,Brunnsgatan 10 B,00100,HELSINGFORS;;Tuotteen kotelomateriaali ei täytä standardin EN 60950 tulenkestoisuusvaatimuksia.;Myyntikieltopäätös.
28.07.2011;Swedlux;SL18 1003 (930014);240V, DS3W-GU10 3000k;Lamput;Lamppu, LED;7 330024 517912;Sähköisku;Palautusmenettely;HAK-20101029-03;http://marek.tukes.fi/Tuote.aspx?kuvaid=8600,http://marek.tukes.fi/Tuote.aspx?kuvaid=8601,http://marek.tukes.fi/Tuote.aspx?kuvaid=8602;Poista tuote välittömästi käytöstä. Palautusmenettelyn mukaisella päätöksellä maahantuoja on velvoitettu keräämään tämä tuote pois myynnistä ja myös käyttäjiltä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Markslöjd AB ,Maahantuoja,Sinikalliontie 9,02620,ESBO;http://marek.tukes.fi/Tuote.aspx?asiakirjaid=48;Lampun rakenteessa on huomattavia puutteita eristysväleissä (liiann pieniä pinta- ja ilmavälejä). Lamppu ei kestänyt sille tehtyä jännitekoetestiä. LED-piiri ei ole eristetty riittävästi verkkojännitteisistä osista.;Tukesin tekemä palautusmenettelyä koskeva päätös.
04.08.2011;MicroBattery;Inventer-24-300-EU;;Verkkoliitäntäkojeet ja lataus;Vaihtosuuntaaja;5 705965 850558;Sähköisku,Palo;Myyntikielto;PER-20110309-03;http://marek.tukes.fi/Tuote.aspx?kuvaid=10091,http://marek.tukes.fi/Tuote.aspx?kuvaid=10087,http://marek.tukes.fi/Tuote.aspx?kuvaid=10088;Myyntikieltopäätöksellä maahantuoja on velvoitettu keräämään tämä tuote pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;EET Europarts Oy ,Maahantuoja,Metsänneidonkuja 12,02130,ESPOO;;Pinta- ja ilmaväli puutteita sisääntulo- ja ulostulopiirin välillä. Kotelon eristysaineinen pohjamateriaali ei täytä standardin EN 60950 tulenkestoisuusvaatimuksia.;Myyntikielto.
04.08.2011;Snakebyte;SB905353;;Atk- ja toimistolaitteet;Latauslaite, USB;4 039621 905353;Sähköisku;Myyntikielto;YNS-20110413-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=10017,http://marek.tukes.fi/Tuote.aspx?kuvaid=10011,http://marek.tukes.fi/Tuote.aspx?kuvaid=10012,http://marek.tukes.fi/Tuote.aspx?kuvaid=10018;Myyntikieltopäätöksellä maahantuoja on velvoitettu keräämään tämä tuote pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Gamedog Oy ,Maahantuoja,Peisalankatu 26,15100,LAHTI;;Ilma- ja pintavälipuutteita tuotteen verkkomuuntajassa sekä piirilevyllä. Tuotteen kotelomateriaali ei täytä standardin EN 60950 mukaisia tulenkestoisuusvaatimuksia.;Myyntikieltopäätös.
04.08.2011;Pocket Karaoke;PDV-200;100-240V 50/60Hz 15W lkll;Viihde-elektroniikka;Laserlevysoitin;6 430022 959040;Sähköisku;Myyntikielto;PER-20110217-03;http://marek.tukes.fi/Tuote.aspx?kuvaid=9662,http://marek.tukes.fi/Tuote.aspx?kuvaid=9663,http://marek.tukes.fi/Tuote.aspx?kuvaid=9664;Myyntikieltopäätöksellä maahantuoja on velvoitettu keräämään tämä tuote pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;KSF Entertainment Group Oy Ltd aputoiminimet: KSF Karaoke, Suomen Karaoketähti +muita,Maahantuoja,Kiiskinkatu 8,08150,LOHJA;;Tuotteen verkkomuuntajassa T1 (HJ-EE25K)ilma- ja pintavälit ensiö- ja toisiokäämin välillä erittäinen alhaiset.;Myyntikieltopäätös.
04.08.2011;e-ast;150W (133690);200-240V  AC 50 Hz, input voltage: 10-15.6 Volts DC;Verkkoliitäntäkojeet ja lataus;Vaihtosuuntaaja;2 011336 900000;Sähköisku;Palautusmenettely;PER-20110307-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=10129,http://marek.tukes.fi/Tuote.aspx?kuvaid=10126,http://marek.tukes.fi/Tuote.aspx?kuvaid=10127,http://marek.tukes.fi/Tuote.aspx?kuvaid=10199;Poista tuote välittömästi käytöstä. Palautusmenettelyn mukaisella päätöksellä maahantuoja on velvoitettu keräämään tämä tuote pois myynnistä ja myös käyttäjiltä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Kuluttajasuojalaissa muutoksineen on tarkemmin kerrottu menettelystä.;Vapaa-ajan tarviketalo AK & Co Ky (Heinola Caravan) ,Vähittäismyyjä,Kankaantie 24,15540,VILLÄHDE;;Tuotteessa oleva pistorasia ei täytä rakenteeltaan standardin SFS 5610:2004 vaatimuksia. Pistotulpan jännitteisiä tappeja on käyttäjän mahdollista koskettaa, kun pistotulppaa asetetaan laitteessa olevaan pistorasiaan. Erotus sisääntulopiirin ja ulostulopiirin välillä ei täytä vahvistetun eristyksen vaatimuksia.;Palautusmenettelyn koskeva päätös.
