663,318,2,3,3
663,319,2,2,3
663,320,1,2,2
663,321,4,4,4
663,322,4,4,5
663,323,2,4,4
663,324,5,5,5
663,325,4,4,5
663,326,2,4,4
663,327,4,1,4
663,328,5,4,5
663,329,5,1,5
663,330,3,2,3
663,331,2,0,2
664,316,1,0,1
664,317,1,2,2
664,318,5,4,5
664,319,5,4,5
664,320,3,3,3
664,321,3,2,3
664,322,2,1,2
664,323,5,5,5
664,324,5,5,5
664,325,4,3,4
664,326,4,5,5
664,327,4,5,5
664,328,5,5,5
664,329,4,1,5
664,330,5,4,5
664,331,5,2,5
664,332,4,1,4
664,333,2,2,3
664,334,5,5,5
664,335,5,4,5
665,309,1,0,1
665,310,4,3,4
665,312,0,4,4
665,313,0,4,4
665,314,2,2,2
665,315,2,1,3
665,316,2,2,3
665,317,1,1,2
665,318,2,1,3
665,319,2,3,4
665,320,2,2,3
665,321,2,2,2
665,322,3,3,4
665,323,5,4,5
665,324,5,3,5
665,325,4,3,5
665,326,4,3,5
665,327,4,4,5
665,328,3,1,4
665,329,4,4,5
665,330,4,5,5
665,331,4,4,5
665,332,3,3,4
665,333,5,2,5
665,334,5,1,5
665,335,5,5,5
665,336,5,4,5
665,338,0,5,5
666,310,1,0,1
666,311,2,0,2
666,312,4,1,4
666,313,2,2,2
666,314,2,1,2
666,315,3,2,3
666,316,2,2,2
666,317,2,2,2
666,318,2,2,3
666,319,2,3,4
666,320,2,4,5
666,321,3,4,4
666,322,3,4,4
666,323,5,5,5
666,324,4,3,5
666,325,4,4,5
666,326,4,3,4
666,327,3,3,4
666,328,2,3,4
666,329,3,2,3
666,330,3,2,4
666,331,5,5,5
666,332,4,3,5
666,333,5,4,5
666,334,5,3,5
666,335,5,4,5
666,336,5,5,5
666,337,5,4,5
666,338,4,3,4
666,339,4,3,4
666,340,5,2,5
666,341,5,5,5
666,342,2,5,5
667,310,4,2,5
667,311,3,4,5
667,312,2,2,4
667,313,3,4,5
667,314,2,3,4
667,315,2,1,2
667,316,3,2,4
667,317,5,1,5
667,318,4,4,5
667,319,2,2,2
667,320,2,2,4
667,321,3,4,5
667,322,4,5,5
667,323,5,5,5
667,324,5,5,5
667,325,4,5,5
667,326,5,5,5
667,327,4,3,5
667,328,5,5,5
667,329,3,5,5
667,330,4,4,5
667,331,4,4,5
667,332,5,5,5
667,333,4,5,5
667,334,3,2,4
667,335,4,4,5
667,336,5,5,5
667,337,5,5,5
667,338,5,5,5
667,339,5,4,5
667,340,5,2,5
667,341,4,3,5
667,342,2,5,5
667,343,2,5,5
667,344,5,5,5
667,345,4,5,5
667,346,3,3,4
668,309,4,1,4
668,310,5,5,5
668,311,3,4,4
668,312,2,3,4
668,313,4,2,5
668,314,4,2,5
668,315,2,2,2
668,316,3,3,4
668,317,1,4,4
668,318,2,5,5
668,319,5,4,5
668,320,5,5,5
668,321,5,5,5
668,322,4,5,5
668,323,4,2,4
668,324,4,2,4
668,325,4,3,4
668,326,4,5,5
668,327,5,3,5
668,328,3,5,5
668,329,3,3,4
668,330,4,4,5
668,331,5,3,5
668,332,4,5,5
668,333,4,5,5
668,334,5,4,5
668,335,5,5,5
668,336,3,2,4
